variance,skewness,class
-0.206 ,9.221 ,0
0.571 ,-0.025 ,0
-0.048 ,-0.561 ,0
1.326 ,1.033 ,0
0.497 ,5.527 ,0
5.019 ,8.598 ,0
5.402 ,3.104 ,0
-0.416 ,0.325 ,1
4.161 ,11.220 ,0
-6.200 ,8.681 ,1
-4.478 ,-13.030 ,1
-1.389 ,12.503 ,0
-4.017 ,-8.312 ,1
-3.970 ,3.681 ,1
-2.659 ,-1.606 ,1
-0.510 ,-0.236 ,1
-3.920 ,4.072 ,1
3.864 ,3.706 ,0
-2.726 ,3.921 ,1
1.181 ,8.385 ,0
0.164 ,-3.358 ,1
3.235 ,9.647 ,0
-3.724 ,1.904 ,1
-0.965 ,9.411 ,0
-0.556 ,3.214 ,1
1.357 ,4.236 ,0
0.738 ,4.853 ,1
5.043 ,-0.530 ,0
-1.998 ,-6.607 ,1
2.015 ,1.848 ,0
2.642 ,7.586 ,0
4.468 ,2.291 ,0
-0.499 ,1.773 ,1
0.189 ,0.701 ,1
-2.565 ,-5.790 ,1
3.936 ,10.162 ,0
3.229 ,7.739 ,0
-1.438 ,-1.862 ,1
5.262 ,3.983 ,0
-1.819 ,-9.037 ,1
0.884 ,6.591 ,0
-1.682 ,-6.812 ,1
5.130 ,8.670 ,0
-2.446 ,1.629 ,1
-0.167 ,5.897 ,0
-1.522 ,10.841 ,0
-0.735 ,1.736 ,1
0.964 ,5.616 ,0
-0.783 ,11.360 ,0
1.594 ,4.706 ,0
-3.993 ,2.622 ,1
0.385 ,6.599 ,0
0.214 ,-0.695 ,1
3.240 ,-3.708 ,0
-1.083 ,-0.312 ,1
-2.007 ,-6.719 ,1
-2.761 ,-10.510 ,1
2.974 ,8.960 ,0
-4.402 ,-12.937 ,1
3.359 ,9.802 ,0
0.896 ,10.547 ,0
2.610 ,8.008 ,0
0.396 ,6.887 ,0
-1.506 ,0.070 ,0
0.030 ,-1.051 ,1
4.368 ,9.672 ,0
4.936 ,7.605 ,0
-1.267 ,2.818 ,1
1.837 ,6.129 ,0
4.546 ,8.167 ,0
-0.304 ,2.653 ,1
-3.000 ,-9.157 ,1
-0.106 ,-0.768 ,0
-1.671 ,-2.090 ,1
-2.198 ,-2.125 ,1
2.127 ,5.194 ,0
2.424 ,9.533 ,0
0.243 ,0.573 ,1
4.677 ,-3.390 ,0
4.718 ,10.015 ,0
0.762 ,5.821 ,0
-0.491 ,2.845 ,1
-2.330 ,-9.953 ,1
1.546 ,8.548 ,0
3.272 ,1.784 ,0
4.344 ,3.330 ,0
3.794 ,7.985 ,0
1.352 ,1.060 ,1
0.936 ,8.641 ,0
4.985 ,8.352 ,0
-3.930 ,-6.082 ,1
-2.669 ,-10.452 ,1
-1.939 ,1.571 ,1
-0.773 ,-7.447 ,1
-0.001 ,0.139 ,1
0.967 ,3.843 ,1
3.516 ,10.189 ,0
-2.328 ,1.438 ,1
-2.484 ,-7.449 ,1
3.608 ,6.858 ,0
3.463 ,-4.449 ,0
-0.985 ,-6.661 ,1
-0.658 ,-2.802 ,1
-4.377 ,-5.517 ,1
3.735 ,9.591 ,0
-0.895 ,2.028 ,1
3.513 ,2.907 ,0
-2.966 ,-10.326 ,1
-1.411 ,-7.108 ,1
3.330 ,0.913 ,0
-0.879 ,-2.212 ,1
1.899 ,0.975 ,0
-1.443 ,3.292 ,1
-2.398 ,12.606 ,0
0.406 ,1.349 ,1
-1.508 ,-7.319 ,1
-1.666 ,-0.300 ,1
-1.664 ,3.288 ,1
0.890 ,2.264 ,1
-1.836 ,-6.756 ,1
-0.603 ,1.724 ,1
-2.542 ,-0.658 ,1
0.318 ,-0.993 ,1
0.913 ,3.338 ,1
-0.961 ,2.696 ,1
-1.749 ,-6.332 ,1
0.682 ,4.850 ,1
1.782 ,6.918 ,0
0.741 ,1.730 ,1
3.628 ,0.983 ,0
5.178 ,8.232 ,0
-4.478 ,7.371 ,1
2.852 ,9.171 ,0
2.852 ,9.010 ,0
-2.827 ,-9.041 ,1
-1.254 ,10.880 ,0
-2.620 ,-6.856 ,1
-7.036 ,9.293 ,1
2.582 ,9.755 ,0
-6.651 ,6.793 ,1
-2.089 ,-0.484 ,1
0.539 ,3.894 ,1
-3.883 ,4.898 ,1
3.367 ,-5.186 ,0
3.667 ,4.302 ,0
2.263 ,-4.486 ,0
0.873 ,9.293 ,0
-0.831 ,0.039 ,1
-0.660 ,-3.226 ,1
3.999 ,0.904 ,0
-4.855 ,-5.904 ,1
0.502 ,0.654 ,1
-0.775 ,-1.877 ,1
-2.915 ,4.054 ,1
2.260 ,-0.033 ,0
-4.486 ,-13.289 ,1
3.536 ,6.709 ,0
4.992 ,7.865 ,0
1.916 ,6.082 ,0
-0.007 ,9.293 ,0
-1.651 ,-8.499 ,1
-3.392 ,3.356 ,1
-1.726 ,-6.024 ,1
-0.539 ,-5.167 ,1
-3.087 ,-6.636 ,1
3.732 ,-3.884 ,0
2.565 ,8.633 ,0
2.695 ,6.798 ,0
5.852 ,5.391 ,0
2.523 ,2.237 ,0
2.805 ,0.577 ,0
0.441 ,2.949 ,0
4.095 ,-2.967 ,0
3.106 ,9.541 ,0
-1.694 ,2.785 ,1
6.563 ,9.819 ,0
-2.005 ,-0.495 ,1
1.342 ,-4.422 ,0
2.392 ,4.557 ,1
-1.186 ,-1.252 ,1
-7.042 ,9.200 ,1
-0.780 ,3.232 ,1
-2.066 ,1.051 ,1
4.096 ,10.189 ,0
-1.973 ,2.883 ,1
3.457 ,9.523 ,0
-2.572 ,-0.956 ,1
-2.591 ,-0.106 ,1
-4.289 ,-7.863 ,1
2.420 ,6.467 ,0
-4.746 ,3.121 ,1
-3.623 ,3.996 ,1
-2.699 ,12.198 ,0
4.241 ,-2.485 ,0
1.838 ,6.063 ,0
-0.092 ,0.393 ,1
-0.715 ,-4.445 ,1
3.467 ,6.870 ,0
3.358 ,-4.306 ,0
-1.798 ,-6.769 ,1
1.551 ,3.801 ,1
2.194 ,4.550 ,1
2.162 ,-6.880 ,0
3.777 ,9.779 ,0
0.474 ,3.361 ,1
-2.629 ,0.180 ,1
-1.897 ,3.507 ,1
3.519 ,6.332 ,0
1.536 ,9.177 ,0
-2.217 ,1.467 ,1
1.364 ,-4.776 ,0
2.255 ,8.099 ,0
-1.695 ,1.066 ,0
-0.817 ,3.381 ,1
-4.500 ,3.429 ,1
-0.982 ,2.796 ,1
1.911 ,8.871 ,0
-0.878 ,3.257 ,1
0.123 ,8.985 ,0
-5.294 ,-5.146 ,1
1.220 ,2.098 ,1
0.598 ,3.501 ,1
0.017 ,8.693 ,0
-0.847 ,3.133 ,1
-0.429 ,-0.147 ,1
0.052 ,7.052 ,0
-1.600 ,-9.583 ,1
-1.822 ,-6.882 ,1
-2.553 ,-7.363 ,1
3.850 ,9.794 ,0
-6.753 ,8.817 ,1
-1.841 ,10.831 ,0
-1.080 ,2.200 ,1
2.106 ,7.605 ,0
0.496 ,10.224 ,0
0.275 ,9.219 ,0
-1.979 ,3.230 ,1
4.430 ,-2.351 ,0
0.117 ,3.735 ,1
2.153 ,-6.167 ,0
0.529 ,0.964 ,0
4.055 ,-2.458 ,0
-1.239 ,-6.541 ,1
-3.574 ,3.944 ,1
3.802 ,-3.870 ,0
-3.285 ,4.037 ,1
-2.567 ,-6.882 ,1
-2.982 ,4.199 ,1
-6.154 ,7.930 ,1
-3.718 ,-8.509 ,1
-0.278 ,8.188 ,0
0.518 ,0.259 ,1
0.778 ,6.642 ,0
2.561 ,9.268 ,0
2.509 ,6.841 ,0
-1.423 ,-0.989 ,1
1.775 ,-6.433 ,0
-3.346 ,-0.505 ,1
-3.137 ,0.422 ,1
4.041 ,0.515 ,0
1.448 ,-4.879 ,0
3.824 ,-3.108 ,0
-4.225 ,6.270 ,1
-3.757 ,-8.292 ,1
3.583 ,-3.797 ,0
-0.821 ,0.652 ,1
3.629 ,0.813 ,0
0.889 ,5.345 ,0
-2.262 ,12.118 ,0
-3.536 ,0.304 ,1
-1.577 ,10.843 ,0
-0.610 ,-4.002 ,1
3.189 ,-3.414 ,0
3.245 ,6.630 ,0
2.368 ,-6.839 ,0
5.504 ,10.367 ,0
4.022 ,-2.191 ,0
-0.337 ,-0.650 ,0
4.707 ,8.296 ,0
1.099 ,0.639 ,0
1.335 ,6.119 ,0
-1.616 ,0.809 ,0
-3.205 ,-0.143 ,1
-4.945 ,3.301 ,1
4.003 ,-3.594 ,0
2.091 ,0.944 ,0
-4.388 ,-7.727 ,1
-1.848 ,0.310 ,1
1.132 ,7.921 ,0
-2.455 ,-9.041 ,1
-2.665 ,-12.813 ,1
-2.124 ,-6.897 ,1
-5.903 ,6.568 ,1
0.896 ,7.776 ,0
-0.531 ,-0.097 ,1
3.848 ,10.154 ,0
-0.126 ,10.322 ,0
-1.508 ,1.922 ,0
-0.117 ,0.604 ,1
-1.361 ,10.694 ,0
-0.863 ,1.935 ,1
3.190 ,5.753 ,0
-2.979 ,2.345 ,1
-6.960 ,8.993 ,1
0.185 ,6.508 ,0
-3.820 ,-13.055 ,1
1.296 ,4.286 ,1
1.164 ,3.810 ,1
-2.435 ,-9.250 ,1
3.658 ,5.686 ,0
4.650 ,-4.830 ,0
-2.076 ,10.822 ,0
-1.839 ,-9.088 ,1
-0.410 ,-0.155 ,1
0.759 ,0.292 ,1
2.668 ,10.216 ,0
4.885 ,1.600 ,0
5.032 ,8.203 ,0
0.741 ,0.366 ,0
-4.843 ,-4.993 ,1
2.401 ,1.622 ,0
1.647 ,0.482 ,0
-1.525 ,-6.253 ,1
-1.131 ,1.904 ,0
4.290 ,9.181 ,0
3.866 ,-2.638 ,0
-1.445 ,-8.439 ,1
0.434 ,5.540 ,0
3.812 ,10.146 ,0
-2.299 ,-5.227 ,1
-0.299 ,2.477 ,1
-3.379 ,-13.773 ,1
3.534 ,9.361 ,0
2.916 ,10.831 ,0
5.591 ,10.464 ,0
-0.936 ,-5.101 ,1
-2.180 ,3.379 ,1
4.010 ,10.657 ,0
-0.633 ,-5.128 ,1
4.154 ,7.276 ,0
1.065 ,8.368 ,0
3.576 ,9.775 ,0
2.774 ,6.858 ,0
3.095 ,8.732 ,0
0.964 ,5.840 ,0
-2.321 ,3.166 ,1
-2.004 ,-9.368 ,1
4.306 ,8.207 ,0
-2.437 ,3.603 ,1
0.148 ,7.946 ,0
0.927 ,9.432 ,0
5.878 ,5.941 ,0
0.562 ,1.002 ,1
-5.301 ,7.392 ,1
3.577 ,2.400 ,0
-0.908 ,-7.903 ,1
-0.743 ,-0.329 ,1
-0.016 ,9.748 ,0
0.590 ,7.427 ,0
-1.835 ,11.033 ,0
-2.535 ,-0.774 ,1
1.375 ,8.879 ,0
-1.588 ,-6.607 ,1
-2.592 ,-1.055 ,1
0.607 ,3.954 ,1
-0.709 ,-5.560 ,1
-1.279 ,-2.409 ,1
-2.988 ,0.312 ,1
-0.540 ,7.327 ,0
5.740 ,-0.443 ,0
-4.244 ,-13.063 ,1
-2.967 ,-13.287 ,1
4.934 ,2.411 ,0
-1.855 ,-9.604 ,1
-4.553 ,-12.585 ,1
-1.897 ,-6.789 ,1
4.022 ,-2.700 ,0
1.152 ,1.386 ,0
-1.532 ,-5.097 ,1
-3.848 ,-12.805 ,1
-3.917 ,2.665 ,1
3.884 ,10.028 ,0
-1.012 ,-0.190 ,1
4.097 ,0.470 ,0
-0.887 ,2.808 ,1
3.109 ,3.112 ,0
-0.643 ,2.475 ,1
4.385 ,-4.879 ,0
3.033 ,2.295 ,0
1.019 ,1.103 ,1
-3.518 ,2.876 ,1
-1.759 ,-6.462 ,1
-0.554 ,-7.923 ,1
0.524 ,3.644 ,1
-4.141 ,3.462 ,1
3.559 ,1.308 ,0
0.269 ,4.987 ,1
2.314 ,10.665 ,0
1.481 ,7.638 ,0
1.428 ,8.385 ,0
1.018 ,9.109 ,0
-3.599 ,-13.659 ,1
2.656 ,10.704 ,0
-3.793 ,-12.710 ,1
2.808 ,11.305 ,0
-0.973 ,-6.417 ,1
1.159 ,8.933 ,0
-2.799 ,1.968 ,1
-4.367 ,6.069 ,1
-0.173 ,-1.182 ,1
-4.079 ,2.924 ,1
-2.456 ,-0.244 ,1
0.617 ,3.894 ,1
-1.242 ,-1.718 ,1
3.658 ,7.280 ,0
-2.899 ,-0.604 ,1
4.569 ,-4.455 ,0
4.277 ,2.496 ,0
-0.894 ,3.199 ,1
3.938 ,0.929 ,0
-2.791 ,-5.713 ,1
-6.336 ,9.285 ,1
3.891 ,-2.152 ,0
-6.524 ,9.601 ,1
0.376 ,-0.824 ,1
-1.706 ,3.309 ,1
-0.815 ,-5.738 ,1
-1.011 ,2.998 ,1
-0.787 ,9.566 ,0
0.642 ,3.129 ,0
-0.696 ,8.617 ,0
4.650 ,7.634 ,0
1.168 ,9.157 ,0
-2.570 ,-6.845 ,1
-6.282 ,6.665 ,1
1.438 ,0.668 ,1
-2.456 ,-4.557 ,1
-3.605 ,-5.974 ,1
-4.634 ,-12.751 ,1
1.143 ,-3.741 ,0
4.743 ,2.109 ,0
3.122 ,-3.137 ,0
-1.341 ,-1.916 ,1
-3.506 ,-12.567 ,1
3.481 ,9.701 ,0
1.943 ,6.396 ,0
1.563 ,0.896 ,1
1.226 ,0.896 ,0
3.482 ,-4.163 ,0
0.519 ,-3.263 ,0
-0.777 ,0.130 ,1
-1.912 ,-6.160 ,1
3.953 ,-2.355 ,0
-0.451 ,-1.368 ,0
0.816 ,4.840 ,1
4.153 ,-3.936 ,0
0.259 ,5.010 ,1
3.466 ,1.111 ,0
-4.286 ,8.523 ,0
3.910 ,6.065 ,0
-2.686 ,-0.097 ,1
2.950 ,2.249 ,0
1.458 ,-0.085 ,0
2.877 ,-4.060 ,0
-1.710 ,-4.778 ,1
-2.123 ,1.182 ,1
2.042 ,1.244 ,0
-5.490 ,9.105 ,1
-0.508 ,2.868 ,1
-4.839 ,6.676 ,1
5.306 ,5.268 ,0
-3.593 ,0.230 ,1
2.132 ,-2.040 ,0
3.591 ,3.013 ,0
2.974 ,8.794 ,0
4.042 ,-4.391 ,0
-2.044 ,1.227 ,1
0.045 ,6.733 ,0
0.428 ,-0.950 ,1
5.937 ,6.166 ,0
-2.121 ,-0.056 ,1
1.699 ,2.909 ,0
-0.025 ,-0.174 ,1
0.571 ,-0.025 ,0
2.293 ,9.039 ,0
3.820 ,10.928 ,0
-4.505 ,-5.813 ,1
1.936 ,8.165 ,0
0.301 ,0.174 ,1
-5.481 ,8.182 ,1
3.883 ,6.402 ,0
0.876 ,6.814 ,0
2.824 ,2.860 ,0
4.137 ,0.492 ,0
3.086 ,-2.585 ,0
-3.959 ,4.029 ,1
-2.883 ,1.771 ,1
-0.278 ,8.188 ,0
1.275 ,8.817 ,0
5.062 ,-0.358 ,0
1.762 ,4.368 ,0
1.510 ,0.039 ,0
2.986 ,7.267 ,0
4.797 ,6.986 ,0
1.257 ,4.873 ,1
5.359 ,3.756 ,0
3.966 ,3.921 ,0
2.047 ,2.030 ,0
2.127 ,6.878 ,0
3.358 ,10.357 ,0
0.224 ,-0.521 ,1
-0.409 ,3.098 ,1
4.601 ,5.626 ,0
2.372 ,7.491 ,0
-5.441 ,7.236 ,1
1.927 ,7.756 ,0
3.063 ,-3.332 ,0
-1.167 ,-1.424 ,1
2.393 ,9.798 ,0
3.436 ,0.662 ,0
1.570 ,7.913 ,0
4.656 ,7.640 ,0
-0.360 ,4.116 ,0
2.395 ,9.508 ,0
1.982 ,9.262 ,0
-1.224 ,1.749 ,1
-3.360 ,-0.327 ,1
-2.341 ,12.378 ,0
0.329 ,-4.455 ,0
3.782 ,-2.885 ,0
-1.603 ,-0.389 ,1
-1.808 ,-8.813 ,1
-1.294 ,2.674 ,1
1.019 ,2.330 ,0
2.923 ,6.046 ,0
1.645 ,7.861 ,0
0.380 ,0.710 ,0
1.726 ,-4.470 ,0
-0.384 ,-1.047 ,0
-5.205 ,7.259 ,1
-1.393 ,1.566 ,0
0.601 ,1.933 ,1
3.702 ,6.994 ,0
1.105 ,7.443 ,0
0.681 ,2.326 ,0
0.049 ,6.144 ,0
0.004 ,0.629 ,1
